unit_key,work_code,division_level_1,division_level_2,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_label_r0,drift_label_r1,drift_label_r2,residual_class,character_diff_summary,token_diff_summary,phrase_diff_summary,category_labels
ZEC:11:3,ZEC,11,3,0.2666588992038751,0.2666588992038751,,R0,R1,0.0,¶ There is a voyce of the howling of the shepheards; for their glory is spoiled: a voyce of the roaring of young lyons; for the pride of Iordan is spoiled.,There is a voice of the howling of the shepherds; for their glory is spoiled: a voice of the roaring of young lions; for the pride of Jordan is spoiled.,¶ there is a voyce of the howling of the shepheards; for their glory is spoiled: a voyce of the roaring of young lyons; for the pride of iordan is spoiled.,there is a voice of the howling of the shepherds; for their glory is spoiled: a voice of the roaring of young lions; for the pride of jordan is spoiled.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:4, delete:2, insert:0}; examples=delete: [¶  ] -> [] | replace: [y] -> [i] | delete: [a] -> [] | replace: [y] -> [i] | replace: [y] -> [i] | replace: [I] -> [J]","ops={replace:5, delete:1, insert:0}; examples=delete: [¶] -> [] | replace: [voyce] -> [voice] | replace: [shepheards;] -> [shepherds;] | replace: [voyce] -> [voice] | replace: [lyons;] -> [lions;] | replace: [Iordan] -> [Jordan]","ops={replace:2, delete:0, insert:0}; examples=replace: [¶ There is a voyce of the howling of the shepheards] -> [There is a voice of the howling of the shepherds] | replace: [a voyce of the roaring of young lyons for the pride of Iordan is spoiled] -> [a voice of the roaring of young lions for the pride of Jordan is spoiled]",
2JN:1:2,2JN,1,2,0.26656153419325246,0.26656153419325246,,R0,R1,0.0,"For the trueths sake which dwelleth in vs, and shalbe with vs for euer:","For the truth’s sake, which dwelleth in us, and shall be with us for ever.","for the trueths sake which dwelleth in vs, and shalbe with vs for euer:","for the truth’s sake, which dwelleth in us, and shall be with us for ever.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:4, delete:1, insert:3}; examples=delete: [e] -> [] | insert: [] -> [’] | insert: [] -> [,] | replace: [v] -> [u] | insert: [] -> [l  ] | replace: [v] -> [u] | replace: [u] -> [v] | replace: [:] -> [.]","ops={replace:5, delete:0, insert:0}; examples=replace: [trueths sake] -> [truth’s sake,] | replace: [vs,] -> [us,] | replace: [shalbe] -> [shall be] | replace: [vs] -> [us] | replace: [euer:] -> [ever.]","ops={replace:1, delete:0, insert:0}; examples=replace: [For the trueths sake which dwelleth in vs and shalbe with vs for euer] -> [For the truth’s sake which dwelleth in us and shall be with us for ever]",
GEN:41:26,GEN,41,26,0.26646854066847325,0.26646854066847325,,R0,R1,0.0,The seuen good kine are seuen yeeres: and the seuen good eares are seuen yeeres: the dreame is one.,The seven good kine are seven years; and the seven good ears are seven years: the dream is one.,the seuen good kine are seuen yeeres: and the seuen good eares are seuen yeeres: the dreame is one.,the seven good kine are seven years; and the seven good ears are seven years: the dream is one.,REVIEW_CANDIDATE,REVIEW_CANDIDATE,,normalization_insensitive,"ops={replace:7, delete:4, insert:0}; examples=replace: [u] -> [v] | replace: [u] -> [v] | replace: [e] -> [a] | delete: [e] -> [] | replace: [:] -> [;] | replace: [u] -> [v] | delete: [e] -> [] | replace: [u] -> [v]","ops={replace:6, delete:0, insert:0}; examples=replace: [seuen] -> [seven] | replace: [seuen yeeres:] -> [seven years;] | replace: [seuen] -> [seven] | replace: [eares] -> [ears] | replace: [seuen yeeres:] -> [seven years:] | replace: [dreame] -> [dream]","ops={replace:1, delete:0, insert:0}; examples=replace: [The seuen good kine are seuen yeeres and the seuen good eares are seuen yeeres the dreame is one] -> [The seven good kine are seven years and the seven good ears are seven years the dream is one]",
MAT:3:5,MAT,3,5,0.2660258497242225,0.2660258497242225,,R0,R1,0.0,"Then went out to him Hierusalem, and all Iudea, and all the region round about Iordane,","Then went out to him Jerusalem, and all Judaea, and all the region round about Jordan,","then went out to him hierusalem, and all iudea, and all the region round about iordane,","then went out to him jerusalem, and all judaea, and all the region round about jordan,",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:1, insert:1}; examples=replace: [H i] -> [J] | replace: [I] -> [J] | insert: [] -> [a] | replace: [I] -> [J] | delete: [e] -> []","ops={replace:3, delete:0, insert:0}; examples=replace: [Hierusalem,] -> [Jerusalem,] | replace: [Iudea,] -> [Judaea,] | replace: [Iordane,] -> [Jordan,]","ops={replace:1, delete:0, insert:0}; examples=replace: [Then went out to him Hierusalem and all Iudea and all the region round about Iordane] -> [Then went out to him Jerusalem and all Judaea and all the region round about Jordan]",
MAT:27:18,MAT,27,18,0.2659338600906136,0.2659338600906136,,R0,R1,0.0,For hee knew that for enuie they had deliuered him.,For he knew that for envy they had delivered him.,for hee knew that for enuie they had deliuered him.,for he knew that for envy they had delivered him.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:1, insert:0}; examples=delete: [e] -> [] | replace: [u i e] -> [v y] | replace: [u] -> [v]","ops={replace:3, delete:0, insert:0}; examples=replace: [hee] -> [he] | replace: [enuie] -> [envy] | replace: [deliuered] -> [delivered]","ops={replace:1, delete:0, insert:0}; examples=replace: [For hee knew that for enuie they had deliuered him] -> [For he knew that for envy they had delivered him]",
2CO:8:20,2CO,8,20,0.26591497996350155,0.26591497996350155,,R0,R1,0.0,"Auoyding this, that no man should blame vs in this aboundance which is administred by vs.","Avoiding this, that no man should blame us in this abundance which is administered by us:","auoyding this, that no man should blame vs in this aboundance which is administred by vs.","avoiding this, that no man should blame us in this abundance which is administered by us:",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:1, insert:1}; examples=replace: [u] -> [v] | replace: [y] -> [i] | replace: [v] -> [u] | delete: [o] -> [] | insert: [] -> [e] | replace: [v] -> [u] | replace: [.] -> [:]","ops={replace:5, delete:0, insert:0}; examples=replace: [Auoyding] -> [Avoiding] | replace: [vs] -> [us] | replace: [aboundance] -> [abundance] | replace: [administred] -> [administered] | replace: [vs.] -> [us:]","ops={replace:1, delete:0, insert:0}; examples=replace: [Auoyding this that no man should blame vs in this aboundance which is administred by vs] -> [Avoiding this that no man should blame us in this abundance which is administered by us]",
ECC:5:10,ECC,5,10,0.26587153797600105,0.26587153797600105,,R0,R1,0.0,"Hee that loueth siluer shall not be satisfied with siluer; nor he that loueth abundance, with increase: this is also vanitie.",He that loveth silver shall not be satisfied with silver; nor he that loveth abundance with increase: this is also vanity.,"hee that loueth siluer shall not be satisfied with siluer; nor he that loueth abundance, with increase: this is also vanitie.",he that loveth silver shall not be satisfied with silver; nor he that loveth abundance with increase: this is also vanity.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:2, insert:0}; examples=delete: [e] -> [] | replace: [u] -> [v] | replace: [u] -> [v] | replace: [u] -> [v] | replace: [u] -> [v] | delete: [,] -> [] | replace: [i e] -> [y]","ops={replace:5, delete:0, insert:0}; examples=replace: [Hee] -> [He] | replace: [loueth siluer] -> [loveth silver] | replace: [siluer;] -> [silver;] | replace: [loueth abundance,] -> [loveth abundance] | replace: [vanitie.] -> [vanity.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Hee that loueth siluer shall not be satisfied with siluer nor he that loueth abundance with increase this is also vanitie] -> [He that loveth silver shall not be satisfied with silver nor he that loveth abundance with increase this is also vanity]",
ROM:12:9,ROM,12,9,0.26586022970099166,0.26586022970099166,,R0,R1,0.0,"Let loue bee without dissimulation: abhorre that which is euill, cleaue to that which is good.",Let love be without dissimulation. Abhor that which is evil; cleave to that which is good.,"let loue bee without dissimulation: abhorre that which is euill, cleaue to that which is good.",let love be without dissimulation. abhor that which is evil; cleave to that which is good.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:6, delete:2, insert:0}; examples=replace: [u] -> [v] | delete: [e] -> [] | replace: [:] -> [.] | replace: [a] -> [A] | delete: [r e] -> [] | replace: [u] -> [v] | replace: [l ,] -> [;] | replace: [u] -> [v]","ops={replace:3, delete:0, insert:0}; examples=replace: [loue bee] -> [love be] | replace: [dissimulation: abhorre] -> [dissimulation. Abhor] | replace: [euill, cleaue] -> [evil; cleave]","ops={replace:1, delete:0, insert:0}; examples=replace: [Let loue bee without dissimulation abhorre that which is euill cleaue to that which is good] -> [Let love be without dissimulation Abhor that which is evil cleave to that which is good]",
LEV:11:24,LEV,11,24,0.2658306339490033,0.2658306339490033,,R0,R1,0.0,"And for these ye shalbe vncleane: whosoeuer toucheth the carkasse of them, shall be vncleane vntill the euen.",And for these ye shall be unclean: whosoever toucheth the carcase of them shall be unclean until the even.,"and for these ye shalbe vncleane: whosoeuer toucheth the carkasse of them, shall be vncleane vntill the euen.",and for these ye shall be unclean: whosoever toucheth the carcase of them shall be unclean until the even.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:6, delete:5, insert:1}; examples=insert: [] -> [l  ] | replace: [v] -> [u] | delete: [e] -> [] | replace: [u] -> [v] | replace: [k] -> [c] | delete: [s] -> [] | delete: [,] -> [] | replace: [v] -> [u]","ops={replace:5, delete:0, insert:0}; examples=replace: [shalbe vncleane: whosoeuer] -> [shall be unclean: whosoever] | replace: [carkasse] -> [carcase] | replace: [them,] -> [them] | replace: [vncleane vntill] -> [unclean until] | replace: [euen.] -> [even.]","ops={replace:1, delete:0, insert:0}; examples=replace: [And for these ye shalbe vncleane whosoeuer toucheth the carkasse of them shall be vncleane vntill the euen] -> [And for these ye shall be unclean whosoever toucheth the carcase of them shall be unclean until the even]",
PSA:55:22,PSA,55,22,0.26580821553602885,0.26580821553602885,,R0,R1,0.0,"Cast thy burden vpon the Lord, and he shall sustaine thee: hee shall neuer suffer the righteous to bee moued.","Cast thy burden upon the LORD, and he shall sustain thee: he shall never suffer the righteous to be moved.","cast thy burden vpon the lord, and he shall sustaine thee: hee shall neuer suffer the righteous to bee moued.","cast thy burden upon the lord, and he shall sustain thee: he shall never suffer the righteous to be moved.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:4, delete:3, insert:0}; examples=replace: [v] -> [u] | replace: [o r d] -> [O R D] | delete: [e] -> [] | delete: [e] -> [] | replace: [u] -> [v] | delete: [e] -> [] | replace: [u] -> [v]","ops={replace:6, delete:0, insert:0}; examples=replace: [vpon] -> [upon] | replace: [Lord,] -> [LORD,] | replace: [sustaine] -> [sustain] | replace: [hee] -> [he] | replace: [neuer] -> [never] | replace: [bee moued.] -> [be moved.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Cast thy burden vpon the Lord and he shall sustaine thee hee shall neuer suffer the righteous to bee moued] -> [Cast thy burden upon the LORD and he shall sustain thee he shall never suffer the righteous to be moved]",
MAL:2:4,MAL,2,4,0.2655089927954719,0.2655089927954719,,R0,R1,0.0,"And yee shall know that I haue sent this commaundement vnto you, that my couenant might be with Leui, saith the Lord of hostes.","And ye shall know that I have sent this commandment unto you, that my covenant might be with Levi, saith the LORD of hosts.","and yee shall know that i haue sent this commaundement vnto you, that my couenant might be with leui, saith the lord of hostes.","and ye shall know that i have sent this commandment unto you, that my covenant might be with levi, saith the lord of hosts.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:4, insert:0}; examples=delete: [e] -> [] | replace: [u] -> [v] | delete: [u] -> [] | delete: [e] -> [] | replace: [v] -> [u] | replace: [u] -> [v] | replace: [u] -> [v] | replace: [o r d] -> [O R D]","ops={replace:7, delete:0, insert:0}; examples=replace: [yee] -> [ye] | replace: [haue] -> [have] | replace: [commaundement vnto] -> [commandment unto] | replace: [couenant] -> [covenant] | replace: [Leui,] -> [Levi,] | replace: [Lord] -> [LORD] | replace: [hostes.] -> [hosts.]","ops={replace:1, delete:0, insert:0}; examples=replace: [And yee shall know that I haue sent this commaundement vnto you that my couenant might be with Leui saith the Lord of hostes] -> [And ye shall know that I have sent this commandment unto you that my covenant might be with Levi saith the LORD of hosts]",
GAL:1:22,GAL,1,22,0.2654394513164544,0.2654394513164544,,R0,R1,0.0,"And was vnknowen by face vnto the Churches of Iudea, which were in Christ.",And was unknown by face unto the churches of Judaea which were in Christ:,"and was vnknowen by face vnto the churches of iudea, which were in christ.",and was unknown by face unto the churches of judaea which were in christ:,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:2, insert:1}; examples=replace: [v] -> [u] | delete: [e] -> [] | replace: [v] -> [u] | replace: [C] -> [c] | replace: [I] -> [J] | insert: [] -> [a] | delete: [,] -> [] | replace: [.] -> [:]","ops={replace:5, delete:0, insert:0}; examples=replace: [vnknowen] -> [unknown] | replace: [vnto] -> [unto] | replace: [Churches] -> [churches] | replace: [Iudea,] -> [Judaea] | replace: [Christ.] -> [Christ:]","ops={replace:1, delete:0, insert:0}; examples=replace: [And was vnknowen by face vnto the Churches of Iudea which were in Christ] -> [And was unknown by face unto the churches of Judaea which were in Christ]",
NEH:12:11,NEH,12,11,0.2646609003098135,0.2646609003098135,,R0,R1,0.0,"And Ioiada begate Ionathan, and Ionathan begate Iaddua.","And Joiada begat Jonathan, and Jonathan begat Jaddua.","and ioiada begate ionathan, and ionathan begate iaddua.","and joiada begat jonathan, and jonathan begat jaddua.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:4, delete:2, insert:0}; examples=replace: [I] -> [J] | delete: [e] -> [] | replace: [I] -> [J] | replace: [I] -> [J] | delete: [e] -> [] | replace: [I] -> [J]","ops={replace:2, delete:0, insert:0}; examples=replace: [Ioiada begate Ionathan,] -> [Joiada begat Jonathan,] | replace: [Ionathan begate Iaddua.] -> [Jonathan begat Jaddua.]","ops={replace:1, delete:0, insert:0}; examples=replace: [And Ioiada begate Ionathan and Ionathan begate Iaddua] -> [And Joiada begat Jonathan and Jonathan begat Jaddua]",
